date,ticker,open,high,low,close,volume
2025-05-19,BBCA,9275.000,9500.000,9250.000,9500.000,111597200
2025-05-20,BBCA,9500.000,9675.000,9475.000,9475.000,160614800
2025-05-21,BBCA,9700.000,9725.000,9550.000,9700.000,169739200
2025-05-22,BBCA,9800.000,9800.000,9650.000,9650.000,103113000
2025-05-23,BBCA,9775.000,9775.000,9625.000,9675.000,61189700
2025-05-26,BBCA,9600.000,9650.000,9500.000,9625.000,56625300
2025-05-27,BBCA,9550.000,9600.000,9450.000,9450.000,93212000
2025-05-28,BBCA,9450.000,9550.000,9400.000,9400.000,236950800
2025-06-02,BBCA,9025.000,9175.000,9025.000,9100.000,264428700
2025-06-03,BBCA,9050.000,9125.000,8950.000,9050.000,128318100
2025-06-04,BBCA,9100.000,9125.000,8950.000,8975.000,93357200
2025-06-05,BBCA,9000.000,9050.000,8900.000,8925.000,95529000
2025-06-10,BBCA,8975.000,9100.000,8950.000,9100.000,80406400
2025-06-11,BBCA,9100.000,9125.000,9050.000,9050.000,56632600
2025-06-12,BBCA,9000.000,9125.000,9000.000,9125.000,41337300
2025-06-13,BBCA,9100.000,9125.000,8975.000,9025.000,83318000
2025-06-16,BBCA,8925.000,9000.000,8900.000,8925.000,57825000
2025-06-17,BBCA,8975.000,9100.000,8975.000,9075.000,54927900
2025-06-18,BBCA,8950.000,9025.000,8900.000,8900.000,86270200
2025-06-19,BBCA,8900.000,8925.000,8750.000,8775.000,78879500
2025-06-20,BBCA,8700.000,8875.000,8625.000,8700.000,445915100
2025-06-23,BBCA,8575.000,8700.000,8500.000,8625.000,87324500
2025-06-24,BBCA,8725.000,8850.000,8700.000,8775.000,110158900
2025-06-25,BBCA,8725.000,8775.000,8475.000,8600.000,117561000
2025-06-26,BBCA,8525.000,8650.000,8525.000,8650.000,117281700
2025-06-30,BBCA,8575.000,8825.000,8550.000,8675.000,185441800
2025-07-01,BBCA,8750.000,8775.000,8600.000,8700.000,82390600
2025-07-02,BBCA,8575.000,8675.000,8575.000,8675.000,68545100
2025-07-03,BBCA,8700.000,8750.000,8600.000,8600.000,50370800
2025-07-04,BBCA,8650.000,8700.000,8550.000,8650.000,43593300
2025-07-07,BBCA,8625.000,8650.000,8550.000,8625.000,49936900
2025-07-08,BBCA,8550.000,8600.000,8425.000,8500.000,215611000
2025-07-09,BBCA,8500.000,8550.000,8450.000,8500.000,94459300
2025-07-10,BBCA,8525.000,8650.000,8500.000,8600.000,111769400
2025-07-11,BBCA,8575.000,8675.000,8575.000,8625.000,135986500
2025-07-14,BBCA,8650.000,8675.000,8450.000,8525.000,125196000
2025-07-15,BBCA,8600.000,8600.000,8475.000,8550.000,77219300
2025-07-16,BBCA,8550.000,8600.000,8500.000,8525.000,97475300
2025-07-17,BBCA,8500.000,8550.000,8500.000,8525.000,86016400
2025-07-18,BBCA,8550.000,8575.000,8425.000,8425.000,80432200
2025-07-21,BBCA,8450.000,8500.000,8375.000,8450.000,95383500
2025-07-22,BBCA,8450.000,8475.000,8400.000,8400.000,77981700
2025-07-23,BBCA,8450.000,8500.000,8400.000,8425.000,70969500
2025-07-24,BBCA,8475.000,8550.000,8450.000,8500.000,138256800
2025-07-25,BBCA,8500.000,8525.000,8450.000,8450.000,58682800
2025-07-28,BBCA,8625.000,8625.000,8475.000,8500.000,99484300
2025-07-29,BBCA,8500.000,8500.000,8375.000,8400.000,104240300
2025-07-30,BBCA,8475.000,8475.000,8325.000,8375.000,98098100
2025-07-31,BBCA,8350.000,8375.000,8250.000,8275.000,206006300
2025-08-01,BBCA,8400.000,8425.000,8300.000,8300.000,86196100
